ticker,name,weight,sector,location,lon,lat
AAPL,Apple Inc,3.88809,Technology,Apple corporate headquarters,-122.0289785,37.3324975
MSFT,Microsoft Corp,3.6704,Technology,Microsoft corporate headquarters,-95.5600877,29.7782092
AMZN,Amazon.com Inc,2.32731,Consumer Cyclical,Amazon.com corporate headquarters,-122.3364939,47.6222881
FB,Facebook Inc A,1.5085,Communication Services,Facebook corporate headquarters,-122.1495041,37.4846102
BRK.B,Berkshire Hathaway Inc B,1.39069,Financial Services,Berkshire Hathaway B corporate headquarters,-95.96561899999999,41.2571794
JPM,JPMorgan Chase & Co,1.3323,Financial Services,JPMorgan Chase & Co corporate headquarters,-97.5521504,35.4934845
GOOG,Alphabet Inc Class C,1.31262,Communication Services,Alphabet corporate headquarters,-93.2944416,37.2353625
GOOGL,Alphabet Inc A,1.29191,Communication Services,Alphabet corporate headquarters,-93.2944416,37.2353625
JNJ,Johnson & Johnson,1.15977,Healthcare,Johnson & Johnson corporate headquarters,-74.9142092,40.2259434
V,Visa Inc Class A,1.01181,Financial Services,Visa corporate headquarters,-122.394945,37.7940118
PG,Procter & Gamble Co,0.96398,Consumer Defensive,Procter & Gamblcorporate headquarters,-94.6528666,39.0877088
XOM,Exxon Mobil Corp,0.94761,Energy,Exxon Mobil corporate headquarters,-95.46888729999999,30.1715968
T,AT&T Inc,0.93301,Communication Services,AT&T corporate headquarters,-95.712891,37.09024
BAC,Bank of America Corp,0.89716,Financial Services,Bank of America corporate headquarters,-80.84191679999999,35.2273417
HD,The Home Depot Inc,0.84616,Consumer Cyclical,The Home Depot corporate headquarters,-84.4814083,33.8654896
INTC,Intel Corp,0.83137,Technology,Intel corporate headquarters,-122.4063191,37.8048794
UNH,UnitedHealth Group Inc,0.82377,Healthcare,UnitedHealth Group corporate headquarters,-97.0143978,32.9372354
DIS,The Walt Disney Co,0.81715,Communication Services,The Walt Disnecorporate headquarters,-81.5342798,28.3290202
MA,Mastercard Inc A,0.81541,Financial Services,Mastercard corporate headquarters,-73.99272049999999,40.7379574
VZ,Verizon Communications Inc,0.79683,Communication Services,Verizon Communications corporate headquarters,-74.0133247,40.7139562
CVX,Chevron Corp,0.74409,Energy,Chevron corporate headquarters,-121.9580965,37.7582505
MRK,Merck & Co Inc,0.70751,Healthcare,Merck & Co corporate headquarters,-94.1919389,36.3104121
WFC,Wells Fargo & Co,0.69105,Financial Services,Wells Fargo & Co corporate headquarters,-95.7063467,37.2262796
PFE,Pfizer Inc,0.67102,Healthcare,Pfizer corporate headquarters,-73.9726003,40.7503724
KO,Coca-Cola Co,0.65323,Consumer Defensive,Coca-Colcorporate headquarters,-84.39732670000001,33.7704878
CMCSA,Comcast Corp Class A,0.6493,Communication Services,Comcast corporate headquarters,-75.16845099999999,39.9549688
BA,Boeing Co,0.63646,Industrials,Boeincorporate headquarters,-87.63884270000001,41.8841353
CSCO,Cisco Systems Inc,0.62498,Technology,Cisco Systems corporate headquarters,-73.9921394,40.7511838
PEP,PepsiCo Inc,0.60638,Consumer Defensive,PepsiCo corporate headquarters,-73.6934734,41.0349879
C,Citigroup Inc,0.5435,Financial Services,Citigroup corporate headquarters,-74.0112178,40.7206559
WMT,Walmart Inc,0.54004,Consumer Defensive,Walmart corporate headquarters,-94.2179496,36.3654899
MDT,Medtronic PLC,0.48654,Healthcare,Medtronic corporate headquarters,-93.2512026,45.0695591
MCD,McDonald's Corp,0.48152,Consumer Cyclical,McDonald's corporate headquarters,-89.7812411,30.2623431
ABT,Abbott Laboratories,0.47752,Healthcare,Abbott Laboratories corporate headquarters,-87.8871961,42.3045306
ADBE,Adobe Inc,0.46866,Technology,Adobe corporate headquarters,-121.8939078,37.3309422
