city,other_name,country,latitude,longitude,certainty,year,population
Ebla,NA,Syria,35.79839754,36.79872812,1,-2250,30000
Nippur,NA,Iraq,32.12693858,45.23078534,1,-2250,30000
Memphis,NA,Egypt,29.844722,31.250833,2,-2000,60000
Susa,NA,Iran,32.19085,48.246028,1,-2000,25000
Ur,NA,Iraq,30.962659,46.10321,1,-2000,65000
Mohenjodaro,Mohenjo-daro,Pakistan,27.32533494,68.13293014,1,-1800,20000
Susa,NA,Iran,32.19085,48.246028,1,-1800,25000
Avaris,near Pi-Rameses,Egypt,30.78629566,31.82221773,2,-1600,100000
Babylon,NA,Iraq,32.536389,44.420833,1,-1600,60000
Hazor,Tel Hazor,Israel,33.01745538,35.5685014,1,-1600,24000
Susa,NA,Iran,32.19085,48.246028,1,-1600,25000
Amarna,NA,Egypt,27.64528963,30.89624244,1,-1360,30000
Ao,Zhengzhou,China,34.766667,113.65,2,-1360,32000
Dur-Kurigalzu,NA,Iraq,33.35355825,44.20235367,1,-1360,40000
Hattusa,"Hattusah, Khattushash, Bogazkale",Turkey,40.021111,34.609722,2,-1360,45000
Hazor,Tel Hazor,Israel,33.01745538,35.5685014,1,-1360,24000
Heliopolis,NA,Egypt,30.129528,31.288889,3,-1360,30000
Knossos,NA,Greece,35.2979516,25.16329744,1,-1360,30000
Memphis,NA,Egypt,29.844722,31.250833,2,-1360,32000
Mycenae,NA,Greece,37.73038721,22.75788116,1,-1360,30000
Thebes,Waset,Egypt,25.720556,32.610278,1,-1360,80000
Ugarit,NA,Syria,35.60228865,35.78656277,1,-1360,24000
Uruk,Erech,Iraq,31.322222,45.636111,2,-1360,25000
Anyang,NA,China,36.09944,114.32889,3,-1200,30000
Argos,Argolis,Greece,37.63333,22.73333,1,-1200,24000
Dur-Kurigalzu,NA,Iraq,33.35355825,44.20235367,1,-1200,40000
Hattusa,"Hattusah, Khattushash, Bogazkale",Turkey,40.021111,34.609722,2,-1200,48000
Memphis,NA,Egypt,29.844722,31.250833,2,-1200,50000
Susa,NA,Iran,32.19085,48.246028,1,-1200,30000
Luoyang,Honan,China,34.669722,112.442222,2,-1000,50000
Pyongyang,"P'yongyang, Tonggoo",Dem. People's Republic of Korea,39.03385,125.75432,1,-1000,25000
Susa,NA,Iran,32.19085,48.246028,1,-1000,25000
Jerusalem,NA,Israel,31.76904,35.21633,1,-800,36000
Luoyang,Honan,China,34.669722,112.442222,2,-800,50000
Nimrud,Calah,Iraq,36.09813154,43.32875612,1,-800,50000
Pyongyang,"P'yongyang, Tonggoo",Dem. People's Republic of Korea,39.03385,125.75432,1,-800,25000
Susa,NA,Iran,32.19085,48.246028,1,-800,27000
Babylon,NA,Iraq,32.536389,44.420833,1,-650,60000
Jerusalem,NA,Israel,31.76904,35.21633,1,-650,45000
Luoyang,Honan,China,34.669722,112.442222,2,-650,70000
Mareb,Marib,Yemen,15.40427477,45.355823,1,-650,45000
Miletus,NA,Turkey,37.530278,27.278333,2,-650,50000
Nimrud,Calah,Iraq,36.09813154,43.32875612,1,-650,40000
Nineveh,NA,Iraq,36.359444,43.152778,2,-650,120000
Pyongyang,"P'yongyang, Tonggoo",Dem. People's Republic of Korea,39.03385,125.75432,1,-650,30000
Sais,Sa el-Hagar,Egypt,30.96485438,30.76872699,1,-650,48000
Susa,NA,Iran,32.19085,48.246028,1,-650,30000
Agrigento,Agrigentum,Italy,37.29082765,13.58427204,1,-430,40000
Argos,Argolis,Greece,37.63333,22.73333,1,-430,40000
Athens,NA,Greece,37.97945,23.71622,1,-430,155000
Babylon,NA,Iraq,32.536389,44.420833,1,-430,200000
Carthage,NA,Tunisia,36.8581,10.3308,3,-430,50000
Changsha,NA,China,28.196111,112.972222,1,-430,40000
Corinth,NA,Greece,37.938636,22.932228,1,-430,70000
Crotone,Croton,Italy,39.08144536,17.12880422,2,-430,35000
Cyrene,near present-day Shahhat,Libya,32.81901498,21.85583296,3,-430,35000
Damascus,NA,Syria,33.5102,36.29128,1,-430,30000
Elis,Eleia,Greece,37.89189226,21.37348005,1,-430,30000
Gela,NA,Italy,37.08034,14.23068,1,-430,35000
Jerusalem,NA,Israel,31.76904,35.21633,1,-430,49000
Kerkira,"Corfu, Corcyra,  KÈrkira",Greece,39.583333,19.866667,2,-430,35000
Lucheng,NA,China,36.316667,113.216667,3,-430,50000
Luoyang,Honan,China,34.669722,112.442222,2,-430,100000
Memphis,NA,Egypt,29.844722,31.250833,2,-430,100000
